interval_begin;interval_end;interval_id;interval_sampledSeconds;interval_departed;interval_arrived;interval_entered;interval_left;interval_density;interval_laneDensity;interval_occupancy;interval_waitingTime;interval_timeLoss;interval_speed;interval_vaporized;typedInterval_begin;typedInterval_end;typedInterval_id;typedInterval_type;typedInterval_departed;typedInterval_arrived;typedInterval_entered;typedInterval_left;typedInterval_sampledSeconds;typedInterval_density;typedInterval_occupancy;typedInterval_waitingTime;typedInterval_timeLoss;typedInterval_speed;typedInterval_vaporized
29700.00;30600.00;e1Detector_146631481#0_2_474;884.18;23;18;172;179;16.29;5.43;2.72;0.00;32.37;13.33;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146632728_1_738;260.08;0;0;41;41;2.79;0.93;0.46;0.00;1.28;16.34;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146632728_2_739;260.08;0;0;41;41;2.79;0.93;0.46;0.00;1.28;16.34;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146760790_0_457;143.34;0;0;23;23;1.58;0.79;0.40;0.00;1.83;16.15;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146792402#0_0_48;259.40;0;0;26;28;2.27;0.76;0.38;0.00;0.00;13.11;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146792402#0_1_49;259.40;0;0;26;28;2.27;0.76;0.38;0.00;0.00;13.11;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146792402#0_2_50;259.40;0;0;26;28;2.27;0.76;0.38;0.00;0.00;13.11;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146808037#0_0_629;1861.30;0;0;259;258;22.13;11.06;5.53;0.00;98.79;12.95;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146808037#0_1_630;1861.30;0;0;259;258;22.13;11.06;5.53;0.00;98.79;12.95;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146979726_0_492;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146979726_1_493;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_147560035#0_0_136;224.32;0;0;31;31;2.68;1.34;0.67;0.00;6.05;12.86;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_147560035#0_1_137;224.32;0;0;31;31;2.68;1.34;0.67;0.00;6.05;12.86;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_147926678#0_0_504;263.90;0;0;37;37;3.23;1.61;0.81;0.00;11.56;12.75;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_147926678#0_1_505;263.90;0;0;37;37;3.23;1.61;0.81;0.00;11.56;12.75;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_147926678#0_1_84;246.85;0;0;36;36;3.02;1.51;0.75;0.00;0.01;13.26;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_148365767#1_1_459;166.45;0;0;30;30;2.01;1.01;0.50;0.00;3.43;16.58;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_148857890#0_0_151;5470.08;15;8;400;397;81.83;40.92;20.46;0.00;3232.88;5.59;;;;;;;;;;;;;;;;
